transaction_id,customer_id,transaction_type,amount,currency,sender_country,receiver_country,is_new_payee,account_age_days,customer_avg_txn_amount,customer_txn_count_30d,amount_deviation_from_avg,time_of_day_hour,is_weekend,is_holiday,channel,device_type,ip_country_match,failed_login_attempts_24h,num_txns_last_1h,num_txns_last_24h,days_since_last_txn,receiver_account_age_days,is_high_risk_country,is_sanctioned_country,pep_flag,asset_type,sector,portfolio_concentration_pct,market_volatility_index,risk_label,is_fraud
TXN001,CUST001,buy,1500.00,USD,US,US,0,1825,1200.00,15,0.25,10,0,0,web,desktop,1,0,1,3,2,3650,0,0,0,stock,Technology,12.5,18.5,low,0
TXN002,CUST001,sell,2000.00,USD,US,US,0,1825,1200.00,15,0.67,14,0,0,web,desktop,1,0,1,4,1,3650,0,0,0,stock,Technology,12.5,18.5,low,0
TXN003,CUST002,buy,50000.00,USD,US,US,0,730,5000.00,8,9.00,3,0,0,mobile,phone,1,0,3,5,0,365,0,0,0,stock,Finance,45.0,22.3,high,0
TXN004,CUST003,buy,750.00,USD,US,US,0,365,800.00,22,0.06,11,0,0,web,desktop,1,0,2,6,1,500,0,0,0,etf,Diversified,8.0,15.2,low,0
TXN005,CUST004,sell,120000.00,USD,US,KY,1,90,3000.00,3,39.00,2,0,0,mobile,phone,0,3,5,8,0,30,1,0,0,crypto,Cryptocurrency,78.0,45.6,critical,1
TXN006,CUST005,buy,3500.00,USD,US,US,0,1460,3200.00,12,0.09,15,0,0,web,desktop,1,0,1,2,3,2000,0,0,0,bond,Government,20.0,12.1,low,0
TXN007,CUST006,buy,25000.00,USD,US,US,1,180,2000.00,5,11.50,23,1,0,mobile,phone,1,1,4,7,0,60,0,0,0,stock,Healthcare,55.0,28.4,high,0
TXN008,CUST007,sell,8000.00,USD,US,US,0,2190,7500.00,10,0.07,9,0,0,web,desktop,1,0,1,3,5,1825,0,0,0,stock,Energy,15.0,20.1,low,0
TXN009,CUST008,buy,95000.00,USD,US,PA,1,45,1500.00,2,62.33,1,1,0,mobile,phone,0,5,8,12,0,15,1,0,0,crypto,Cryptocurrency,90.0,55.2,critical,1
TXN010,CUST009,buy,4500.00,USD,US,US,0,900,4000.00,18,0.13,12,0,0,web,desktop,1,0,2,5,2,1200,0,0,0,stock,Consumer,10.0,16.8,low,0
TXN011,CUST010,sell,15000.00,USD,US,US,0,1095,12000.00,7,0.25,16,0,0,web,desktop,1,0,1,2,7,900,0,0,0,stock,Technology,22.0,19.5,low,0
TXN012,CUST011,buy,35000.00,USD,US,CH,1,60,2500.00,3,13.00,22,0,0,mobile,phone,0,2,6,9,0,45,0,0,1,stock,Finance,60.0,32.1,high,1
TXN013,CUST012,buy,500.00,USD,US,US,0,3650,600.00,25,0.17,10,0,0,web,desktop,1,0,1,4,1,3000,0,0,0,etf,Diversified,5.0,14.0,low,0
TXN014,CUST013,sell,75000.00,USD,US,AE,1,120,8000.00,4,8.38,4,1,0,api,server,0,4,7,10,0,20,1,0,0,crypto,Cryptocurrency,85.0,48.9,critical,1
TXN015,CUST014,buy,2200.00,USD,US,US,0,1460,2000.00,20,0.10,13,0,0,web,desktop,1,0,2,5,2,2500,0,0,0,bond,Corporate,18.0,17.3,low,0
TXN016,CUST015,buy,18000.00,USD,US,US,0,730,15000.00,6,0.20,11,0,0,web,desktop,1,0,1,3,4,1000,0,0,0,stock,Technology,35.0,21.7,medium,0
TXN017,CUST016,sell,45000.00,USD,US,RU,1,30,1000.00,1,44.00,0,0,0,mobile,phone,0,6,10,15,0,10,1,1,0,stock,Finance,70.0,40.5,critical,1
TXN018,CUST017,buy,6000.00,USD,US,US,0,2555,5500.00,14,0.09,14,0,0,web,desktop,1,0,1,4,3,2000,0,0,0,stock,Healthcare,14.0,18.2,low,0
TXN019,CUST018,buy,12000.00,USD,US,US,1,365,3000.00,8,3.00,20,0,0,mobile,phone,1,1,3,6,1,200,0,0,0,stock,Energy,40.0,25.8,medium,0
TXN020,CUST019,sell,85000.00,USD,US,NG,1,75,2000.00,2,41.50,3,1,0,mobile,phone,0,4,9,13,0,5,1,0,0,crypto,Cryptocurrency,92.0,52.3,critical,1
TXN021,CUST020,buy,3000.00,USD,US,US,0,1095,2800.00,16,0.07,10,0,0,web,desktop,1,0,2,4,2,1500,0,0,0,stock,Consumer,11.0,16.5,low,0
TXN022,CUST021,buy,9500.00,USD,US,US,0,730,8000.00,9,0.19,15,0,0,web,desktop,1,0,1,3,3,800,0,0,0,stock,Materials,25.0,20.4,low,0
TXN023,CUST022,sell,28000.00,USD,US,HK,1,150,4000.00,5,6.00,21,1,0,api,server,0,2,5,8,0,90,0,0,1,stock,Finance,50.0,30.2,high,0
TXN024,CUST023,buy,1800.00,USD,US,US,0,2190,1700.00,20,0.06,9,0,0,web,desktop,1,0,1,5,1,3000,0,0,0,etf,Diversified,7.0,13.8,low,0
TXN025,CUST024,buy,55000.00,USD,US,US,1,60,3500.00,2,14.71,1,0,0,mobile,phone,1,3,6,9,0,25,0,0,0,stock,Technology,65.0,35.7,high,0
TXN026,CUST025,sell,7000.00,USD,US,US,0,1825,6500.00,11,0.08,12,0,0,web,desktop,1,0,1,3,4,2200,0,0,0,stock,Utilities,16.0,15.9,low,0
TXN027,CUST026,buy,42000.00,USD,US,SG,0,365,35000.00,4,0.20,16,0,0,web,desktop,1,0,1,2,7,1500,0,0,0,stock,Technology,30.0,22.1,medium,0
TXN028,CUST027,sell,110000.00,USD,US,VG,1,40,5000.00,1,21.00,2,1,0,mobile,phone,0,5,8,11,0,8,1,0,0,crypto,Cryptocurrency,88.0,50.1,critical,1
TXN029,CUST028,buy,4200.00,USD,US,US,0,1460,3800.00,17,0.11,11,0,0,web,desktop,1,0,2,4,2,1800,0,0,0,bond,Municipal,19.0,14.5,low,0
TXN030,CUST030,buy,22000.00,USD,US,US,1,200,5000.00,6,3.40,22,0,0,mobile,phone,1,1,4,7,1,150,0,0,0,stock,Healthcare,42.0,26.3,medium,0
TXN031,CUST031,sell,65000.00,USD,US,IR,1,25,800.00,1,80.25,3,0,0,mobile,phone,0,7,12,18,0,3,1,1,0,stock,Energy,75.0,42.8,critical,1
TXN032,CUST032,buy,5500.00,USD,US,US,0,3650,5200.00,22,0.06,10,0,0,web,desktop,1,0,1,3,2,4000,0,0,0,stock,Finance,13.0,17.6,low,0
TXN033,CUST033,buy,16000.00,USD,US,US,0,730,14000.00,8,0.14,14,0,0,web,desktop,1,0,2,4,3,1000,0,0,0,stock,Technology,28.0,21.0,low,0
TXN034,CUST034,sell,38000.00,USD,US,BZ,1,90,3000.00,3,11.67,0,1,0,api,server,0,3,7,10,0,12,1,0,0,crypto,Cryptocurrency,82.0,47.5,critical,1
TXN035,CUST035,buy,2800.00,USD,US,US,0,1095,2500.00,19,0.12,13,0,0,web,desktop,1,0,1,5,1,2500,0,0,0,stock,Consumer,9.0,15.8,low,0
TXN036,CUST036,buy,11000.00,USD,US,US,0,545,8000.00,7,0.38,17,0,0,web,desktop,1,0,2,4,2,700,0,0,0,stock,Industrials,32.0,23.4,medium,0
TXN037,CUST037,sell,48000.00,USD,US,CY,1,55,2500.00,2,18.20,23,1,0,mobile,phone,0,4,8,12,0,18,1,0,1,stock,Finance,68.0,38.9,critical,1
TXN038,CUST038,buy,900.00,USD,US,US,0,2920,850.00,28,0.06,9,0,0,web,desktop,1,0,1,4,1,5000,0,0,0,etf,Diversified,4.0,12.5,low,0
TXN039,CUST039,buy,20000.00,USD,US,US,1,300,6000.00,5,2.33,19,0,0,mobile,phone,1,1,3,6,1,300,0,0,0,stock,Energy,38.0,24.7,medium,0
TXN040,CUST040,sell,7500.00,USD,US,US,0,1825,7000.00,13,0.07,11,0,0,web,desktop,1,0,1,3,3,2100,0,0,0,stock,Healthcare,17.0,18.9,low,0
TXN041,CUST041,buy,32000.00,USD,US,US,1,120,4500.00,4,6.11,21,0,0,mobile,phone,1,2,5,8,0,80,0,0,0,stock,Technology,52.0,29.5,high,0
TXN042,CUST042,buy,1200.00,USD,US,US,0,1460,1100.00,21,0.09,10,0,0,web,desktop,1,0,2,5,2,2800,0,0,0,bond,Government,15.0,13.2,low,0
TXN043,CUST043,sell,90000.00,USD,US,MM,1,35,1200.00,1,74.00,4,1,0,mobile,phone,0,6,10,14,0,7,1,1,0,crypto,Cryptocurrency,95.0,54.8,critical,1
TXN044,CUST044,buy,6800.00,USD,US,US,0,910,6000.00,10,0.13,14,0,0,web,desktop,1,0,1,3,4,1600,0,0,0,stock,Finance,21.0,19.7,low,0
TXN045,CUST045,buy,14000.00,USD,US,GB,0,730,12000.00,6,0.17,16,0,0,web,desktop,1,0,1,2,5,1200,0,0,0,stock,Technology,26.0,20.8,low,0
TXN046,CUST046,sell,58000.00,USD,US,LB,1,50,2000.00,2,28.00,1,0,0,mobile,phone,0,5,9,13,0,10,1,0,0,stock,Energy,72.0,41.2,critical,1
TXN047,CUST047,buy,3800.00,USD,US,US,0,2190,3500.00,15,0.09,12,0,0,web,desktop,1,0,2,4,2,3200,0,0,0,stock,Materials,12.0,16.1,low,0
TXN048,CUST048,buy,26000.00,USD,US,US,1,180,5500.00,4,3.73,20,1,0,mobile,phone,1,2,4,7,0,100,0,0,0,stock,Healthcare,48.0,27.6,high,0
TXN049,CUST049,sell,4000.00,USD,US,US,0,1095,3700.00,12,0.08,10,0,0,web,desktop,1,0,1,3,3,1900,0,0,0,stock,Consumer,14.0,17.0,low,0
TXN050,CUST050,buy,72000.00,USD,US,KP,1,20,500.00,1,143.00,2,1,0,api,server,0,8,15,20,0,2,1,1,0,crypto,Cryptocurrency,98.0,58.5,critical,1
TXN051,CUST051,buy,8500.00,USD,US,US,0,1460,7800.00,9,0.09,15,0,0,web,desktop,1,0,1,3,4,2400,0,0,0,stock,Utilities,18.0,15.4,low,0
TXN052,CUST052,sell,19000.00,USD,US,US,0,600,16000.00,7,0.19,13,0,0,web,desktop,1,0,2,4,3,900,0,0,0,stock,Technology,30.0,22.5,medium,0
TXN053,CUST053,buy,40000.00,USD,US,LI,1,80,3500.00,3,10.43,23,0,0,mobile,phone,0,3,6,9,0,25,0,0,1,stock,Finance,58.0,33.8,high,1
TXN054,CUST054,buy,1600.00,USD,US,US,0,2555,1500.00,24,0.07,9,0,0,web,desktop,1,0,1,5,1,4500,0,0,0,etf,Diversified,6.0,13.5,low,0
TXN055,CUST055,sell,105000.00,USD,US,SC,1,30,4000.00,1,25.25,3,1,0,mobile,phone,0,5,11,16,0,5,1,0,0,crypto,Cryptocurrency,91.0,51.7,critical,1
TXN056,CUST056,buy,10000.00,USD,US,US,0,730,9000.00,8,0.11,11,0,0,web,desktop,1,0,1,3,2,1100,0,0,0,stock,Industrials,24.0,19.2,low,0
TXN057,CUST057,buy,30000.00,USD,US,US,1,160,7000.00,5,3.29,18,0,0,web,desktop,1,1,3,6,1,200,0,0,0,stock,Healthcare,44.0,26.8,medium,0
TXN058,CUST058,sell,52000.00,USD,US,VE,1,45,1800.00,2,27.89,0,0,0,mobile,phone,0,4,8,12,0,8,1,0,0,stock,Energy,76.0,43.5,critical,1
TXN059,CUST059,buy,2500.00,USD,US,US,0,1825,2300.00,18,0.09,10,0,0,web,desktop,1,0,2,4,2,3500,0,0,0,stock,Consumer,10.0,15.6,low,0
TXN060,CUST060,buy,17000.00,USD,US,JP,0,545,14000.00,6,0.21,14,0,0,web,desktop,1,0,1,2,5,1400,0,0,0,stock,Technology,29.0,21.3,low,0
TXN061,CUST061,sell,43000.00,USD,US,SY,1,35,1500.00,1,27.67,2,1,0,api,server,0,6,9,14,0,4,1,1,0,crypto,Cryptocurrency,87.0,49.2,critical,1
TXN062,CUST062,buy,5000.00,USD,US,US,0,1095,4600.00,14,0.09,12,0,0,web,desktop,1,0,1,4,3,2600,0,0,0,bond,Corporate,16.0,14.8,low,0
TXN063,CUST063,buy,24000.00,USD,US,US,1,220,6500.00,5,2.69,21,0,0,mobile,phone,1,1,4,7,1,120,0,0,0,stock,Finance,46.0,27.1,high,0
TXN064,CUST064,sell,3200.00,USD,US,US,0,1460,3000.00,11,0.07,10,0,0,web,desktop,1,0,1,3,2,2000,0,0,0,stock,Materials,13.0,16.3,low,0
TXN065,CUST065,buy,68000.00,USD,US,BS,1,40,2200.00,2,29.91,3,0,0,mobile,phone,0,4,7,11,0,12,1,0,0,crypto,Cryptocurrency,83.0,46.8,critical,1
TXN066,CUST066,buy,7200.00,USD,US,US,0,2190,6800.00,10,0.06,15,0,0,web,desktop,1,0,2,4,3,1700,0,0,0,stock,Healthcare,19.0,18.6,low,0
TXN067,CUST067,sell,13000.00,USD,US,US,0,730,11000.00,7,0.18,13,0,0,web,desktop,1,0,1,3,4,1000,0,0,0,stock,Technology,27.0,20.6,low,0
TXN068,CUST068,buy,36000.00,USD,US,MT,1,100,4000.00,3,8.00,22,1,0,mobile,phone,0,3,6,9,0,35,0,0,1,stock,Finance,62.0,34.5,high,1
TXN069,CUST069,buy,1400.00,USD,US,US,0,3285,1300.00,26,0.08,9,0,0,web,desktop,1,0,1,5,1,4200,0,0,0,etf,Diversified,5.0,12.8,low,0
TXN070,CUST070,sell,82000.00,USD,US,SD,1,25,900.00,1,90.11,1,1,0,mobile,phone,0,7,12,17,0,3,1,1,0,crypto,Cryptocurrency,94.0,56.1,critical,1
TXN071,CUST071,buy,9000.00,USD,US,US,0,910,8200.00,12,0.10,11,0,0,web,desktop,1,0,1,3,3,1500,0,0,0,stock,Energy,20.0,19.0,low,0
TXN072,CUST072,buy,21000.00,USD,US,US,0,500,18000.00,6,0.17,16,0,0,web,desktop,1,0,2,4,2,800,0,0,0,stock,Industrials,33.0,23.8,medium,0
TXN073,CUST073,sell,56000.00,USD,US,CU,1,50,1600.00,2,34.00,4,0,0,api,server,0,5,8,12,0,7,1,1,0,stock,Finance,74.0,41.8,critical,1
